Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log) 
16, 6, 3, 0.6699, 10.7109, 0, 0, 51, 17, 
16, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
16, 6, 5, -10.0625, 3.7344, 0, 0, 41, 16, 
16, 6, 6, -10.7773, 2.7598, 0, 0, 45, 17, 
17, 6, 1, -0.0273, 0.4355, 0, 0, 6701, 38, 
17, 6, 2, -0.3164, 2.5098, 0, 0, 562, 28, 
17, 6, 3, 0.6699, 10.7109, 0, 0, 52, 17, 
17, 6, 4, -10.7773, 2.7598, 0, 0, 46, 17, 
17, 6, 5, -10.0625, 3.7344, 0, 0, 42, 16, 
17, 6, 6, -0.6953, 11.1035, 0, 0, 43, 16, 
18, 6, 1, -0.0273, 0.4355, 0, 0, 6733, 38, 
18, 6, 2, -0.3164, 2.5098, 0, 0, 554, 27, 
18, 6, 3, 0.6699, 10.7109, 0, 0, 52, 17, 
18, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
18, 6, 5, -10.0625, 3.7344, 0, 0, 42, 16, 
18, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
19, 6, 1, -0.0273, 0.4355, 0, 0, 6713, 38, 
19, 6, 2, -0.3164, 2.5098, 0, 0, 552, 27, 
19, 6, 3, 0.6699, 10.7109, 0, 0, 51, 17, 
19, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
19, 6, 5, -10.0625, 3.7344, 0, 0, 42, 16, 
19, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
20, 6, 1, -0.0273, 0.4355, 0, 0, 6802, 38, 
20, 6, 2, -0.3164, 2.5098, 0, 0, 530, 27, 
20, 6, 3, 0.6699, 10.7109, 0, 0, 51, 17, 
20, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
20, 6, 5, -10.0625, 3.7344, 0, 0, 41, 16, 
20, 6, 6, -10.7773, 2.7598, 0, 0, 42, 16, 
21, 6, 1, -0.0273, 0.4355, 0, 0, 6797, 38, 
21, 6, 2, -0.2363, 2.5195, 0, 0, 484, 27, 
21, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
21, 6, 4, -10.7773, 2.7598, 0, 0, 46, 17, 
21, 6, 5, -10.0625, 3.7344, 0, 0, 42, 16, 
21, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
22, 6, 1, -0.0273, 0.4355, 0, 0, 6786, 38, 
22, 6, 2, -0.2363, 2.5195, 0, 0, 503, 27, 
22, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
22, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
22, 6, 5, -10.0625, 3.7344, 0, 0, 42, 16, 
22, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
23, 6, 1, -0.0273, 0.4355, 0, 0, 6773, 38, 
23, 6, 2, -0.2363, 2.5195, 0, 0, 513, 27, 
23, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
23, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
23, 6, 5, -10.0625, 3.7344, 0, 0, 42, 16, 
23, 6, 6, -0.6953, 11.1035, 0, 0, 43, 16, 
24, 6, 1, -0.0273, 0.4355, 0, 0, 6875, 38, 
24, 6, 2, -0.3164, 2.5098, 0, 0, 493, 27, 
24, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
24, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
24, 6, 5, -10.0625, 3.7344, 0, 0, 42, 16, 
24, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
25, 6, 1, -0.0273, 0.4355, 0, 0, 6912, 38, 
25, 6, 2, -0.3164, 2.5098, 0, 0, 483, 27, 
25, 6, 3, 0.6699, 10.7109, 0, 0, 51, 17, 
25, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
25, 6, 5, -10.0625, 3.7344, 0, 0, 43, 16, 
25, 6, 6, -10.4297, 3.8711, 0, 0, 42, 16, 
26, 6, 1, -0.0273, 0.4355, 0, 0, 6755, 38, 
26, 6, 2, -0.3164, 2.5098, 0, 0, 540, 27, 
26, 6, 3, 0.6699, 10.7109, 0, 0, 50, 17, 
26, 6, 4, -0.6953, 11.1035, 0, 0, 47, 17, 
26, 6, 5, -10.0625, 3.7344, 0, 0, 42, 16, 
26, 6, 6, -10.7773, 2.7598, 0, 0, 43, 16, 
27, 6, 1, -0.041, 0.4336, 0, 0, 6618, 38, 
27, 6, 2, -0.3164, 2.5098, 0, 0, 533, 27, 
27, 6, 3, 0.6699, 10.7109, 0, 0, 49, 17, 
27, 6, 4, -0.6953, 11.1035, 0, 0, 46, 17, 
27, 6, 5, -10.0625, 3.7344, 0, 0, 39, 16, 
27, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
28, 6, 1, -0.041, 0.4336, 0, 0, 6627, 38, 
28, 6, 2, -0.3164, 2.5098, 0, 0, 558, 27, 
28, 6, 3, 0.6699, 10.7109, 0, 0, 49, 17, 
28, 6, 4, -0.6953, 11.1035, 0, 0, 46, 17, 
28, 6, 5, -9.7266, 4.5371, 0, 0, 40, 16, 
28, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
29, 6, 1, -0.041, 0.4336, 0, 0, 6543, 38, 
29, 6, 2, -0.3164, 2.5098, 0, 0, 541, 27, 
29, 6, 3, 0.6699, 10.7109, 0, 0, 48, 17, 
29, 6, 4, -10.4297, 3.8711, 0, 0, 45, 17, 
29, 6, 5, -9.7266, 4.5371, 0, 0, 38, 16, 
29, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
30, 6, 1, -0.041, 0.4336, 0, 0, 6497, 38, 
30, 6, 2, -0.3164, 2.5098, 0, 0, 536, 27, 
30, 6, 3, 0.6699, 10.7109, 0, 0, 48, 17, 
30, 6, 4, -0.6953, 11.1035, 0, 0, 43, 16, 
30, 6, 5, -9.7266, 4.5371, 0, 0, 38, 16, 
30, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
31, 6, 1, -0.041, 0.4336, 0, 0, 6315, 38, 
31, 6, 2, -0.3164, 2.5098, 0, 0, 496, 27, 
31, 6, 3, 0.6699, 10.7109, 0, 0, 47, 17, 
31, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
31, 6, 5, -9.7266, 4.5371, 0, 0, 37, 16, 
31, 6, 6, -10.4297, 3.8711, 0, 0, 43, 16, 
32, 6, 1, -0.041, 0.4336, 0, 0, 6280, 38, 
32, 6, 2, -0.3164, 2.5098, 0, 0, 471, 27, 
32, 6, 3, 1.0059, 10.6855, 0, 0, 46, 17, 
32, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
32, 6, 5, -9.7266, 4.5371, 0, 0, 37, 16, 
32, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
33, 6, 1, -0.0547, 0.4336, 0, 0, 6493, 38, 
33, 6, 2, -0.3164, 2.5098, 0, 0, 466, 27, 
33, 6, 3, 1.0059, 10.6855, 0, 0, 44, 17, 
33, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
33, 6, 5, -9.7266, 4.5371, 0, 0, 38, 16, 
33, 6, 6, -10.4297, 3.8711, 0, 0, 42, 16, 
34, 6, 1, -0.0547, 0.4336, 0, 0, 6499, 38, 
34, 6, 2, -0.3945, 2.5, 0, 0, 456, 27, 
34, 6, 3, 1.0059, 10.6855, 0, 0, 43, 16, 
34, 6, 4, -10.7773, 2.7598, 0, 0, 45, 17, 
34, 6, 5, -9.7266, 4.5371, 0, 0, 38, 16, 
34, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
35, 6, 1, -0.0547, 0.4336, 0, 0, 6505, 38, 
35, 6, 2, -0.3164, 2.5098, 0, 0, 458, 27, 
35, 6, 3, 1.0059, 10.6855, 0, 0, 45, 17, 
35, 6, 4, -10.7773, 2.7598, 0, 0, 44, 17, 
35, 6, 5, -9.3906, 5.1953, 0, 0, 38, 16, 
35, 6, 6, -0.6953, 11.1035, 0, 0, 44, 17, 
36, 6, 1, -0.0547, 0.4336, 0, 0, 6477, 38, 
36, 6, 2, -0.3164, 2.5098, 0, 0, 466, 27, 
36, 6, 3, 1.0059, 10.6855, 0, 0, 46, 17, 
36, 6, 4, -0.6953, 11.1035, 0, 0, 44, 17, 
36, 6, 5, -9.3906, 5.1953, 0, 0, 39, 16, 
36, 6, 6, -10.7773, 2.7598, 0, 0, 44, 17, 
37, 6, 1, -0.0547, 0.4336, 0, 0, 6491, 38, 
37, 6, 2, -0.3164, 2.5098, 0, 0, 467, 27, 
37, 6, 3, 1.0059, 10.6855, 0, 0, 44, 17, 
37, 6, 4, -0.6953, 11.1035, 0, 0, 45, 17, 
37, 6, 5, -9.7266, 4.5371, 0, 0, 38, 16, 
