Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log),
79, 5, 1, 0.5098, 0.8125, 0, 0, 353, 25, 
79, 5, 2, -0.1523, 2.4375, 0, 0, 162, 22, 
79, 5, 3, 1.9629, 2.4512, 0, 0, 293, 25, 
79, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
79, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
80, 5, 1, 0.5098, 0.8125, 0, 0, 357, 26, 
80, 5, 2, -0.1523, 2.4375, 0, 0, 159, 22, 
80, 5, 3, 1.9629, 2.4512, 0, 0, 296, 25, 
80, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
80, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
81, 5, 1, 0.5098, 0.8125, 0, 0, 357, 26, 
81, 5, 2, -0.1523, 2.4375, 0, 0, 164, 22, 
81, 5, 3, 1.9629, 2.4512, 0, 0, 298, 25, 
81, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
81, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
82, 5, 1, 0.5098, 0.8125, 0, 0, 364, 26, 
82, 5, 2, -0.1523, 2.4375, 0, 0, 178, 23, 
82, 5, 3, 1.9629, 2.4512, 0, 0, 297, 25, 
82, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
82, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
83, 5, 1, 0.5098, 0.8125, 0, 0, 356, 26, 
83, 5, 2, -0.1523, 2.4375, 0, 0, 178, 23, 
83, 5, 3, 1.9629, 2.4512, 0, 0, 293, 25, 
83, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
83, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
84, 5, 1, 0.5098, 0.8125, 0, 0, 356, 26, 
84, 5, 2, -0.1523, 2.4375, 0, 0, 178, 23, 
84, 5, 3, 1.9629, 2.4512, 0, 0, 300, 25, 
84, 5, 4, -4.6738, 2.9727, 0, 0, 22, 14, 
84, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
85, 5, 1, 0.5098, 0.8125, 0, 0, 358, 26, 
85, 5, 2, -0.1523, 2.4375, 0, 0, 182, 23, 
85, 5, 3, 1.9629, 2.4512, 0, 0, 299, 25, 
85, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
85, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
86, 5, 1, 0.5098, 0.8125, 0, 0, 362, 26, 
86, 5, 2, -0.1523, 2.4375, 0, 0, 186, 23, 
86, 5, 3, 1.9629, 2.4512, 0, 0, 304, 25, 
86, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
86, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
87, 5, 1, 0.5098, 0.8125, 0, 0, 361, 26, 
87, 5, 2, -0.1523, 2.4375, 0, 0, 183, 23, 
87, 5, 3, 1.9629, 2.4512, 0, 0, 303, 25, 
87, 5, 4, -4.6738, 2.9727, 0, 0, 22, 14, 
87, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
88, 5, 1, 0.5098, 0.8125, 0, 0, 360, 26, 
88, 5, 2, -0.1523, 2.4375, 0, 0, 180, 23, 
88, 5, 3, 1.9629, 2.4512, 0, 0, 301, 25, 
88, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
88, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
89, 5, 1, 0.5098, 0.8125, 0, 0, 358, 26, 
89, 5, 2, -0.1523, 2.4375, 0, 0, 173, 22, 
89, 5, 3, 1.9629, 2.4512, 0, 0, 297, 25, 
89, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
89, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
90, 5, 1, 0.5098, 0.8125, 0, 0, 349, 25, 
90, 5, 2, -0.1523, 2.4375, 0, 0, 161, 22, 
90, 5, 3, 1.9629, 2.4512, 0, 0, 292, 25, 
90, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
90, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
91, 5, 1, 0.5098, 0.8125, 0, 0, 340, 25, 
91, 5, 2, -0.1523, 2.4375, 0, 0, 154, 22, 
91, 5, 3, 1.9629, 2.4512, 0, 0, 290, 25, 
91, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
91, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
92, 5, 1, 0.5098, 0.8125, 0, 0, 331, 25, 
92, 5, 2, -0.1523, 2.4375, 0, 0, 142, 22, 
92, 5, 3, 1.9629, 2.4512, 0, 0, 282, 25, 
92, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
92, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
93, 5, 1, 0.5391, 0.793, 0, 0, 311, 25, 
93, 5, 2, -0.2246, 2.3887, 0, 0, 133, 21, 
93, 5, 3, 1.9629, 2.4512, 0, 0, 269, 24, 
93, 5, 4, -4.6738, 2.9727, 0, 0, 22, 14, 
93, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
94, 5, 1, 0.5391, 0.793, 0, 0, 307, 25, 
94, 5, 2, -0.2246, 2.3887, 0, 0, 131, 21, 
94, 5, 3, 1.9629, 2.4512, 0, 0, 259, 24, 
94, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
94, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
95, 5, 1, 0.5391, 0.793, 0, 0, 309, 25, 
95, 5, 2, -0.2246, 2.3887, 0, 0, 120, 21, 
95, 5, 3, 1.9629, 2.4512, 0, 0, 255, 24, 
95, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
95, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
96, 5, 1, 0.5391, 0.793, 0, 0, 319, 25, 
96, 5, 2, -0.2246, 2.3887, 0, 0, 123, 21, 
96, 5, 3, 1.9629, 2.4512, 0, 0, 266, 24, 
96, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
96, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
97, 5, 1, 0.5391, 0.793, 0, 0, 319, 25, 
97, 5, 2, -0.2246, 2.3887, 0, 0, 126, 21, 
97, 5, 3, 1.9629, 2.4512, 0, 0, 268, 24, 
97, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
97, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
98, 5, 1, 0.5391, 0.793, 0, 0, 320, 25, 
98, 5, 2, -0.2246, 2.3887, 0, 0, 126, 21, 
98, 5, 3, 1.9629, 2.4512, 0, 0, 272, 24, 
98, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
98, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
99, 5, 1, 0.5391, 0.793, 0, 0, 313, 25, 
99, 5, 2, -0.2246, 2.3887, 0, 0, 122, 21, 
99, 5, 3, 1.9629, 2.4512, 0, 0, 267, 24, 
99, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
99, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
100, 5, 1, 0.5391, 0.793, 0, 0, 311, 25, 
100, 5, 2, -0.2246, 2.3887, 0, 0, 118, 21, 
100, 5, 3, 1.9629, 2.4512, 0, 0, 262, 24, 
100, 5, 4, -0.5195, 5.5156, 0, 0, 20, 13, 
100, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
101, 5, 1, 0.5391, 0.793, 0, 0, 311, 25, 
101, 5, 2, -0.2246, 2.3887, 0, 0, 122, 21, 
101, 5, 3, 1.9629, 2.4512, 0, 0, 263, 24, 
101, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
101, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
102, 5, 1, 0.5391, 0.793, 0, 0, 313, 25, 
102, 5, 2, -0.1504, 2.3945, 0, 0, 120, 21, 
102, 5, 3, 1.9629, 2.4512, 0, 0, 263, 24, 
102, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
102, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
103, 5, 1, 0.5391, 0.793, 0, 0, 311, 25, 
103, 5, 2, -0.1504, 2.3945, 0, 0, 121, 21, 
103, 5, 3, 1.9629, 2.4512, 0, 0, 261, 24, 
103, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
103, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
104, 5, 1, 0.5391, 0.793, 0, 0, 313, 25, 
104, 5, 2, -0.2246, 2.3887, 0, 0, 126, 21, 
104, 5, 3, 1.9629, 2.4512, 0, 0, 268, 24, 
104, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
104, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
105, 5, 1, 0.5098, 0.8125, 0, 0, 312, 25, 
105, 5, 2, -0.1504, 2.3945, 0, 0, 119, 21, 
105, 5, 3, 1.9629, 2.4512, 0, 0, 247, 24, 
105, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
105, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
106, 5, 1, 0.5098, 0.8125, 0, 0, 311, 25, 
106, 5, 2, -0.0742, 2.3984, 0, 0, 135, 21, 
106, 5, 3, 1.9629, 2.4512, 0, 0, 236, 24, 
106, 5, 4, -4.6738, 2.9727, 0, 0, 22, 14, 
106, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
107, 5, 1, 0.5098, 0.8125, 0, 0, 316, 25, 
107, 5, 2, -0.0742, 2.3984, 0, 0, 142, 22, 
107, 5, 3, 1.9629, 2.4512, 0, 0, 249, 24, 
107, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
107, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
108, 5, 1, 0.5098, 0.8125, 0, 0, 317, 25, 
108, 5, 2, -0.0742, 2.3984, 0, 0, 142, 22, 
108, 5, 3, 1.9629, 2.4512, 0, 0, 255, 24, 
108, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
108, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
109, 4, 1, 0, 2.3984, 0, 0, 176, 22, 
109, 4, 2, 1.9629, 2.4512, 0, 0, 237, 24, 
109, 4, 3, 4.3281, 3.459, 0, 0, 22, 14, 
109, 4, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
110, 4, 1, 0, 2.3984, 0, 0, 184, 23, 
110, 4, 2, 1.9629, 2.4512, 0, 0, 245, 24, 
110, 4, 3, 4.3281, 3.459, 0, 0, 21, 13, 
110, 4, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
111, 4, 1, 0.0742, 2.3984, 0, 0, 318, 25, 
111, 4, 2, 2.0898, 2.4023, 0, 0, 202, 23, 
111, 4, 3, -0.5195, 5.5156, 0, 0, 21, 13, 
111, 4, 4, 4.3281, 3.459, 0, 0, 21, 13, 
112, 4, 1, 0.0742, 2.3984, 0, 0, 367, 26, 
112, 4, 2, 1.9902, 2.4863, 0, 0, 169, 22, 
112, 4, 3, -0.5195, 5.5156, 0, 0, 22, 14, 
112, 4, 4, 4.3281, 3.459, 0, 0, 21, 13, 
113, 4, 1, 0.0742, 2.3984, 0, 0, 288, 25, 
113, 4, 2, 1.9902, 2.4863, 0, 0, 215, 23, 
113, 4, 3, -0.5195, 5.5156, 0, 0, 21, 13, 
113, 4, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
114, 4, 1, 0.0742, 2.3984, 0, 0, 269, 24, 
114, 4, 2, 2.0605, 2.3691, 0, 0, 195, 23, 
114, 4, 3, -0.5195, 5.5156, 0, 0, 21, 13, 
114, 4, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
115, 4, 1, 0.0742, 2.3984, 0, 0, 320, 25, 
115, 4, 2, 2.0898, 2.4023, 0, 0, 190, 23, 
115, 4, 3, 4.3281, 3.459, 0, 0, 21, 13, 
115, 4, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
116, 4, 1, 0.0742, 2.3984, 0, 0, 320, 25, 
116, 4, 2, 2.0898, 2.4023, 0, 0, 195, 23, 
116, 4, 3, -4.6738, 2.9727, 0, 0, 21, 13, 
116, 4, 4, 4.3281, 3.459, 0, 0, 21, 13, 
117, 4, 1, 0.0742, 2.3984, 0, 0, 328, 25, 
117, 4, 2, 2.0898, 2.4023, 0, 0, 188, 23, 
117, 4, 3, -0.5195, 5.5156, 0, 0, 22, 14, 
117, 4, 4, 4.3281, 3.459, 0, 0, 20, 13, 
118, 4, 1, 0.0742, 2.3984, 0, 0, 341, 25, 
118, 4, 2, 1.9902, 2.4863, 0, 0, 200, 23, 
118, 4, 3, -0.5195, 5.5156, 0, 0, 22, 14, 
118, 4, 4, 4.3281, 3.459, 0, 0, 20, 13, 
119, 5, 1, 0.5098, 0.8125, 0, 0, 358, 26, 
119, 5, 2, 0, 2.3984, 0, 0, 173, 22, 
119, 5, 3, 1.8652, 2.5273, 0, 0, 292, 25, 
119, 5, 4, -4.6738, 2.9727, 0, 0, 22, 14, 
119, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
120, 3, 1, 0.4805, 0.832, 0, 0, 385, 26, 
120, 3, 2, -0.0742, 2.3984, 0, 0, 150, 22, 
120, 3, 3, 1.9629, 2.4512, 0, 0, 302, 25, 
121, 5, 1, 0.4805, 0.832, 0, 0, 367, 26, 
121, 5, 2, -0.0742, 2.3984, 0, 0, 129, 21, 
121, 5, 3, 1.9629, 2.4512, 0, 0, 294, 25, 
121, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
121, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
122, 5, 1, 0.5098, 0.8125, 0, 0, 367, 26, 
122, 5, 2, -0.0742, 2.3984, 0, 0, 115, 21, 
122, 5, 3, 1.9629, 2.4512, 0, 0, 291, 25, 
122, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
122, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
123, 5, 1, 0.4805, 0.832, 0, 0, 368, 26, 
123, 5, 2, -0.0742, 2.3984, 0, 0, 116, 21, 
123, 5, 3, 1.9629, 2.4512, 0, 0, 283, 25, 
123, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
123, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
124, 5, 1, 0.4805, 0.832, 0, 0, 369, 26, 
124, 5, 2, -0.1504, 2.3945, 0, 0, 107, 20, 
124, 5, 3, 1.9629, 2.4512, 0, 0, 286, 25, 
124, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
124, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
125, 5, 1, 0.4805, 0.832, 0, 0, 367, 26, 
125, 5, 2, -0.0742, 2.3984, 0, 0, 109, 20, 
125, 5, 3, 1.9629, 2.4512, 0, 0, 286, 25, 
125, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
125, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
126, 5, 1, 0.4805, 0.832, 0, 0, 370, 26, 
126, 5, 2, -0.1504, 2.3945, 0, 0, 99, 20, 
126, 5, 3, 1.9629, 2.4512, 0, 0, 295, 25, 
126, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
126, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
127, 5, 1, 0.5098, 0.8125, 0, 0, 369, 26, 
127, 5, 2, -0.2246, 2.3887, 0, 0, 94, 20, 
127, 5, 3, 1.9629, 2.4512, 0, 0, 290, 25, 
127, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
127, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
128, 5, 1, 0.5098, 0.8125, 0, 0, 366, 26, 
128, 5, 2, -0.375, 2.3691, 0, 0, 89, 20, 
128, 5, 3, 1.9629, 2.4512, 0, 0, 295, 25, 
128, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
128, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
129, 5, 1, 0.5098, 0.8125, 0, 0, 352, 25, 
129, 5, 2, -0.3008, 2.3809, 0, 0, 80, 19, 
129, 5, 3, 1.9629, 2.4512, 0, 0, 288, 25, 
129, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
129, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
130, 5, 1, 0.5098, 0.8125, 0, 0, 361, 26, 
130, 5, 2, -0.3008, 2.3809, 0, 0, 104, 20, 
130, 5, 3, 1.9629, 2.4512, 0, 0, 295, 25, 
130, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
130, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
131, 5, 1, 0.5098, 0.8125, 0, 0, 357, 26, 
131, 5, 2, -0.3008, 2.3809, 0, 0, 94, 20, 
131, 5, 3, 1.9629, 2.4512, 0, 0, 290, 25, 
131, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
131, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
132, 5, 1, 0.5098, 0.8125, 0, 0, 355, 26, 
132, 5, 2, -0.1504, 2.3945, 0, 0, 102, 20, 
132, 5, 3, 1.9629, 2.4512, 0, 0, 278, 24, 
132, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
132, 5, 5, 4.3281, 3.459, 0, 0, 22, 14, 
133, 5, 1, 0.5098, 0.8125, 0, 0, 358, 26, 
133, 5, 2, -0.1504, 2.3945, 0, 0, 102, 20, 
133, 5, 3, 1.9629, 2.4512, 0, 0, 280, 24, 
133, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
133, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
134, 5, 1, 0.5098, 0.8125, 0, 0, 357, 26, 
134, 5, 2, -0.1504, 2.3945, 0, 0, 103, 20, 
134, 5, 3, 1.9629, 2.4512, 0, 0, 278, 24, 
134, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
134, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
135, 5, 1, 0.5098, 0.8125, 0, 0, 360, 26, 
135, 5, 2, -0.1504, 2.3945, 0, 0, 104, 20, 
135, 5, 3, 1.9629, 2.4512, 0, 0, 285, 25, 
135, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
135, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
136, 5, 1, 0.5098, 0.8125, 0, 0, 363, 26, 
136, 5, 2, -0.0742, 2.3984, 0, 0, 105, 20, 
136, 5, 3, 1.9629, 2.4512, 0, 0, 283, 25, 
136, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
136, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
137, 5, 1, 0.5098, 0.8125, 0, 0, 368, 26, 
137, 5, 2, -0.1504, 2.3945, 0, 0, 100, 20, 
137, 5, 3, 1.9629, 2.4512, 0, 0, 291, 25, 
137, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
137, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
138, 5, 1, 0.5098, 0.8125, 0, 0, 368, 26, 
138, 5, 2, -0.1504, 2.3945, 0, 0, 101, 20, 
138, 5, 3, 1.9629, 2.4512, 0, 0, 292, 25, 
138, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
138, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
139, 5, 1, 0.5098, 0.8125, 0, 0, 365, 26, 
139, 5, 2, -0.1504, 2.3945, 0, 0, 103, 20, 
139, 5, 3, 1.9629, 2.4512, 0, 0, 289, 25, 
139, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
139, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
140, 5, 1, 0.5098, 0.8125, 0, 0, 365, 26, 
140, 5, 2, -0.1504, 2.3945, 0, 0, 103, 20, 
140, 5, 3, 1.9629, 2.4512, 0, 0, 289, 25, 
140, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
140, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
141, 5, 1, 0.5098, 0.8125, 0, 0, 364, 26, 
141, 5, 2, -0.1504, 2.3945, 0, 0, 110, 20, 
141, 5, 3, 1.9629, 2.4512, 0, 0, 290, 25, 
141, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
141, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
142, 5, 1, 0.5098, 0.8125, 0, 0, 367, 26, 
142, 5, 2, -0.1504, 2.3945, 0, 0, 113, 21, 
142, 5, 3, 1.9629, 2.4512, 0, 0, 296, 25, 
142, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
142, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
143, 5, 1, 0.5098, 0.8125, 0, 0, 358, 26, 
143, 5, 2, -0.0742, 2.3984, 0, 0, 119, 21, 
143, 5, 3, 1.9629, 2.4512, 0, 0, 284, 25, 
143, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
143, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
144, 5, 1, 0.5098, 0.8125, 0, 0, 359, 26, 
144, 5, 2, -0.0742, 2.3984, 0, 0, 125, 21, 
144, 5, 3, 1.9629, 2.4512, 0, 0, 289, 25, 
144, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
144, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
145, 5, 1, 0.5098, 0.8125, 0, 0, 361, 26, 
145, 5, 2, -0.0742, 2.3984, 0, 0, 136, 21, 
145, 5, 3, 1.9629, 2.4512, 0, 0, 292, 25, 
145, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
145, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
146, 5, 1, 0.5098, 0.8125, 0, 0, 370, 26, 
146, 5, 2, -0.0762, 2.4414, 0, 0, 120, 21, 
146, 5, 3, 1.9629, 2.4512, 0, 0, 297, 25, 
146, 5, 4, -0.5195, 5.5156, 0, 0, 22, 14, 
146, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
147, 5, 1, 0.5098, 0.8125, 0, 0, 338, 25, 
147, 5, 2, 0, 2.3984, 0, 0, 160, 22, 
147, 5, 3, 1.9629, 2.4512, 0, 0, 274, 24, 
147, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
147, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
148, 5, 1, 0.5098, 0.8125, 0, 0, 299, 25, 
148, 5, 2, 0, 2.3984, 0, 0, 206, 23, 
148, 5, 3, 1.9629, 2.4512, 0, 0, 257, 24, 
148, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
148, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
