Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log),
15, 6, 5, -0.5195, 5.5156, 0, 0, 22, 14, 
15, 6, 6, -4.6738, 2.9727, 0, 0, 20, 13, 
16, 6, 1, -0.1641, 0.3086, 0, 0, 534, 27, 
16, 6, 2, 0.4863, 0.7754, 0, 0, 400, 26, 
16, 6, 3, -0.0762, 2.4414, 0, 0, 205, 23, 
16, 6, 4, 1.9629, 2.4512, 0, 0, 322, 25, 
16, 6, 5, 4.3281, 3.459, 0, 0, 20, 13, 
16, 6, 6, -0.5195, 5.5156, 0, 0, 20, 13, 
17, 5, 1, 0.5098, 0.8125, 0, 0, 395, 26, 
17, 5, 2, -0.0762, 2.4414, 0, 0, 203, 23, 
17, 5, 3, 1.9629, 2.4512, 0, 0, 321, 25, 
17, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
17, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
18, 5, 1, 0.4863, 0.7754, 0, 0, 393, 26, 
18, 5, 2, -0.0742, 2.3984, 0, 0, 188, 23, 
18, 5, 3, 1.9629, 2.4512, 0, 0, 317, 25, 
18, 5, 4, -0.5195, 5.5156, 0, 0, 20, 13, 
18, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
19, 5, 1, 0.4863, 0.7754, 0, 0, 387, 26, 
19, 5, 2, -0.0742, 2.3984, 0, 0, 186, 23, 
19, 5, 3, 1.9629, 2.4512, 0, 0, 313, 25, 
19, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
19, 5, 5, -4.6738, 2.9727, 0, 0, 19, 13, 
20, 5, 1, 0.5098, 0.8125, 0, 0, 381, 26, 
20, 5, 2, -0.0762, 2.4414, 0, 0, 193, 23, 
20, 5, 3, 1.9629, 2.4512, 0, 0, 309, 25, 
20, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
20, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
21, 5, 1, 0.4863, 0.7754, 0, 0, 387, 26, 
21, 5, 2, -0.0762, 2.4414, 0, 0, 192, 23, 
21, 5, 3, 1.9629, 2.4512, 0, 0, 317, 25, 
21, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
21, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
22, 5, 1, 0.4863, 0.7754, 0, 0, 395, 26, 
22, 5, 2, 0, 2.4434, 0, 0, 198, 23, 
22, 5, 3, 1.9629, 2.4512, 0, 0, 316, 25, 
22, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
22, 5, 5, -4.6738, 2.9727, 0, 0, 20, 13, 
23, 5, 1, 0.4863, 0.7754, 0, 0, 399, 26, 
23, 5, 2, 0, 2.4434, 0, 0, 191, 23, 
23, 5, 3, 1.9629, 2.4512, 0, 0, 311, 25, 
23, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
23, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
24, 5, 1, 0.4863, 0.7754, 0, 0, 414, 26, 
24, 5, 2, 0, 2.4434, 0, 0, 169, 22, 
24, 5, 3, 1.9629, 2.4512, 0, 0, 319, 25, 
24, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
24, 5, 5, -0.5195, 5.5156, 0, 0, 21, 13, 
25, 5, 1, 0.4863, 0.7754, 0, 0, 411, 26, 
25, 5, 2, 0, 2.4434, 0, 0, 186, 23, 
25, 5, 3, 1.9629, 2.4512, 0, 0, 319, 25, 
25, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
25, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
26, 4, 1, 0, 2.4434, 0, 0, 192, 23, 
26, 4, 2, 1.9629, 2.4512, 0, 0, 325, 25, 
26, 4, 3, -0.5195, 5.5156, 0, 0, 21, 13, 
26, 4, 4, 4.3281, 3.459, 0, 0, 20, 13, 
27, 5, 1, 0.4863, 0.7754, 0, 0, 409, 26, 
27, 5, 2, 0, 2.4434, 0, 0, 186, 23, 
27, 5, 3, 1.9629, 2.4512, 0, 0, 310, 25, 
27, 5, 4, -4.6738, 2.9727, 0, 0, 21, 13, 
27, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
28, 5, 1, 0.4863, 0.7754, 0, 0, 401, 26, 
28, 5, 2, 0, 2.4434, 0, 0, 189, 23, 
28, 5, 3, 1.9629, 2.4512, 0, 0, 311, 25, 
28, 5, 4, 4.3281, 3.459, 0, 0, 21, 13, 
28, 5, 5, -4.6738, 2.9727, 0, 0, 21, 13, 
29, 5, 1, 0.4863, 0.7754, 0, 0, 405, 26, 
29, 5, 2, 0, 2.4434, 0, 0, 192, 23, 
29, 5, 3, 1.9629, 2.4512, 0, 0, 311, 25, 
29, 5, 4, -0.5195, 5.5156, 0, 0, 20, 13, 
29, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
30, 5, 1, 0.4863, 0.7754, 0, 0, 392, 26, 
30, 5, 2, 0, 2.4434, 0, 0, 193, 23, 
30, 5, 3, 1.9629, 2.4512, 0, 0, 307, 25, 
30, 5, 4, -4.6738, 2.9727, 0, 0, 20, 13, 
30, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
31, 5, 1, 0.5098, 0.8125, 0, 0, 385, 26, 
