Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1700026481.3762155,51071,1700026481,234633472,gx5_link,0.6602797508239746,0.11036123335361481,0.14584659039974213,0.7284091114997864,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.015375645831227303,-0.017319917678833008,-0.033920980989933014,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.308806202257052,-9.873519304180144,-0.9532179124999791,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.376306,51072,1700026481,244648448,gx5_link,0.6602029800415039,0.1103876531124115,0.14568454027175903,0.7285071015357971,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.021909773349761963,-0.020516304299235344,-0.03187573701143265,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.29908067132811994,-9.837648364853859,-0.9327004635196179,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3765028,51073,1700026481,254664448,gx5_link,0.6601186990737915,0.11038314551115036,0.14554961025714874,0.728611171245575,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.02602529339492321,-0.02316831611096859,-0.02555219829082489,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.31413075828067955,-9.821403332495688,-0.9230590672101825,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3765655,51074,1700026481,264682752,gx5_link,0.6600439548492432,0.11036457866430283,0.14543595910072327,0.7287044525146484,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.024346614256501198,-0.022410189732909203,-0.020942986011505127,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.32022849063389003,-9.780527716749907,-0.9418306954365223,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3767533,51075,1700026481,274697728,gx5_link,0.6599959135055542,0.1103140339255333,0.14532576501369476,0.7287775278091431,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.017117954790592194,-0.024851994588971138,-0.015439431183040142,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.32620928207654504,-9.760161805069446,-0.9985752767696976,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.376874,51076,1700026481,284720896,gx5_link,0.6599651575088501,0.11023160070180893,0.14521081745624542,0.7288408279418945,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.011863434687256813,-0.028894245624542236,-0.009441313333809376,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.32974881784692406,-9.773163909983634,-1.0328414843130855,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3770797,51077,1700026481,294738688,gx5_link,0.659960150718689,0.11015666276216507,0.14512839913368225,0.7288730144500732,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.007074263412505388,-0.025904668495059013,-0.004693998023867607,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.3241184472771361,-9.795093417719006,-1.0177192454397679,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.377219,51078,1700026481,304753920,gx5_link,0.6599765419960022,0.1100805252790451,0.14507988095283508,0.7288793325424194,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.0005071929190307856,-0.02353234961628914,0.0023106210865080357,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.3133417267948389,-9.81921838967204,-1.0392801390584558,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.37729,51079,1700026481,314770944,gx5_link,0.6600144505500793,0.1099802777171135,0.1450357288122177,0.7288690209388733,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.00527166947722435,-0.024731555953621864,0.0075066713616251945,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.3009848792479373,-9.856683904713393,-1.0715301114086062,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3776143,51080,1700026481,324788992,gx5_link,0.6600375175476074,0.10986780375242233,0.1449749767780304,0.728877067565918,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0031325998716056347,-0.029001988470554352,0.004501625429838896,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.2840703866629861,-9.850808290678263,-1.1468336280655116,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
