Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1700026234.6558661,26519,1700026234,630917120,gx5_link,0.6580629348754883,0.2059812992811203,0.2623794674873352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.6589563,26520,1700026234,640931328,gx5_link,0.6580832600593567,0.20580729842185974,0.2635475695133209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.6803772,26521,1700026234,650948352,gx5_link,0.6580641269683838,0.20569714903831482,0.2643175721168518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.6850603,26522,1700026234,661965312,gx5_link,0.6582847833633423,0.20563378930091858,0.2636246085166931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.6949759,26523,1700026234,672983040,gx5_link,0.658497154712677,0.20559853315353394,0.262800008058548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.701485,26524,1700026234,682997248,gx5_link,0.6589680910110474,0.20553052425384521,0.2625473737716675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.7112734,26525,1700026234,693013248,gx5_link,0.6593650579452515,0.20547424256801605,0.2624923884868622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.7220201,26526,1700026234,703031040,gx5_link,0.6595252156257629,0.20535793900489807,0.2631568908691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.7298121,26527,1700026234,713044736,gx5_link,0.6595697402954102,0.20520856976509094,0.2642001509666443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.7456315,26528,1700026234,723066112,gx5_link,0.659521758556366,0.20508553087711334,0.26416629552841187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.7525263,26529,1700026234,733084160,gx5_link,0.6592958569526672,0.20488561689853668,0.2626362442970276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.7598805,26530,1700026234,743097856,gx5_link,0.6591869592666626,0.2047892063856125,0.26189854741096497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.779048,26531,1700026234,753114112,gx5_link,0.6587281227111816,0.20494040846824646,0.2611185312271118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.7815502,26532,1700026234,763131136,gx5_link,0.6585068702697754,0.20501333475112915,0.2607424259185791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.7900383,26533,1700026234,773145344,gx5_link,0.6586868762969971,0.20504704117774963,0.2615862786769867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.802987,26534,1700026234,783162624,gx5_link,0.658822774887085,0.20506304502487183,0.2621687650680542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.811809,26535,1700026234,793179904,gx5_link,0.6589779853820801,0.20519626140594482,0.2618202865123749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.8238158,26536,1700026234,803194624,gx5_link,0.6590942144393921,0.20531833171844482,0.261362224817276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700026234.8361564,26537,1700026234,813215744,gx5_link,0.6594752073287964,0.20555634796619415,0.2611403465270996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
