Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
1700026234.5974467,26580,1700026234,520496384,sensor_wgs84,,0.0,0.0,0.0,0.6467652916908264,0.23613356053829193,0.2882847487926483,0.6654528379440308,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.191447609268152e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3303763521023143e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.121306645649836e-05)",0.0,0.0,0.0,-0.015074493363499641,-0.017024148255586624,0.01890512742102146,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026234.597557,26581,1700026234,530512384,sensor_wgs84,,0.0,0.0,0.0,0.6467471122741699,0.23597076535224915,0.28829047083854675,0.6655259132385254,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1819253892296797e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3181574698348203e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.114415505942359e-05)",0.0,0.0,0.0,-0.022659825161099434,-0.02128683775663376,0.008487747050821781,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026234.5976243,26582,1700026234,540524800,sensor_wgs84,,0.0,0.0,0.0,0.6467118263244629,0.2358115315437317,0.28825509548187256,0.665631890296936,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1819253892296797e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3181574698348203e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.114415505942359e-05)",0.0,0.0,0.0,-0.027341607958078384,-0.03348057344555855,0.0066219051368534565,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026234.5977154,26583,1700026234,550539520,sensor_wgs84,,0.0,0.0,0.0,0.6466650366783142,0.23563243448734283,0.28819480538368225,0.6657668948173523,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1819253892296797e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3181574698348203e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.114415505942359e-05)",0.0,0.0,0.0,-0.0313844196498394,-0.0382697731256485,0.005891457665711641,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026234.5978575,26584,1700026234,560555776,sensor_wgs84,,0.0,0.0,0.0,0.6466132402420044,0.2354564219713211,0.28812795877456665,0.6659083962440491,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1819253892296797e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3181574698348203e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.114415505942359e-05)",0.0,0.0,0.0,-0.03198546543717384,-0.035022929310798645,0.004541883245110512,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026234.597922,26585,1700026234,570567680,sensor_wgs84,,0.0,0.0,0.0,0.6465614438056946,0.23529116809368134,0.2880755364894867,0.666039764881134,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1819253892296797e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3181574698348203e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.114415505942359e-05)",0.0,0.0,0.0,-0.028600702062249184,-0.02598448470234871,0.00225160107947886,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026234.5980089,26586,1700026234,580581120,sensor_wgs84,,0.0,0.0,0.0,0.6465182900428772,0.2351328730583191,0.288064569234848,0.6661422848701477,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1819253892296797e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3181574698348203e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.114415505942359e-05)",0.0,0.0,0.0,-0.02734377048909664,-0.021404484286904335,0.01338837668299675,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026234.6087666,26587,1700026234,590597888,sensor_wgs84,,0.0,0.0,0.0,0.646571159362793,0.23467116057872772,0.28774863481521606,0.6663902401924133,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1819253892296797e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3181574698348203e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.114415505942359e-05)",0.0,0.0,0.0,-0.02784455008804798,-0.016781412065029144,0.017086684703826904,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026234.6153805,26588,1700026234,600611072,sensor_wgs84,,0.0,0.0,0.0,0.646508514881134,0.2345227301120758,0.2878178358078003,0.666473388671875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1819253892296797e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3181574698348203e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.114415505942359e-05)",0.0,0.0,0.0,-0.030103642493486404,-0.005277993157505989,0.022811535745859146,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1700026234.6259642,26589,1700026234,610625024,sensor_wgs84,,0.0,0.0,0.0,0.6464529633522034,0.23439522087574005,0.2879360318183899,0.6665211319923401,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1819253892296797e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3181574698348203e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.114415505942359e-05)",0.0,0.0,0.0,-0.022391224279999733,0.0030940664000809193,0.03206626698374748,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
