Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1700026481.3756022,51210,1700026481,134261248,sensor_wgs84,0.654765248298645,0.1359996646642685,0.17621071636676788,0.7223131656646729,2.0686509909252637e-06,0.0,0.0,0.0,2.364240456645026e-06,0.0,0.0,0.0,6.636836402503735e-05,0.016507558524608612,-0.004918530583381653,-0.009238452650606632,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.04331636428833008,0.0759572982788086,-0.026484966278076172,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3757372,51211,1700026481,144279040,sensor_wgs84,0.6548331379890442,0.13604116439819336,0.17613117396831512,0.7222632765769958,2.0686509909252637e-06,0.0,0.0,0.0,2.364240456645026e-06,0.0,0.0,0.0,6.636836402503735e-05,0.0211480725556612,-0.008125416934490204,-0.015711355954408646,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.05730322003364563,0.03844261169433594,-0.05691099166870117,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3757758,51212,1700026481,154294528,sensor_wgs84,0.6549034714698792,0.13610169291496277,0.17605260014533997,0.7222071886062622,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,0.020853234454989433,-0.0014291482511907816,-0.013759628869593143,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.04999184608459473,-0.006846427917480469,-0.0781317949295044,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.375885,51213,1700026481,164311296,sensor_wgs84,0.6549882888793945,0.1361706405878067,0.1759563386440277,0.7221408486366272,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,0.027538208290934563,-0.0029099201783537865,-0.018267277628183365,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.057181715965270996,-0.01818084716796875,-0.13612794876098633,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3759325,51214,1700026481,174329600,sensor_wgs84,0.6550743579864502,0.13623496890068054,0.1758335381746292,0.7220805287361145,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,0.0274532251060009,-0.00910690613090992,-0.024142123758792877,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.05096554756164551,-0.006011962890625,-0.10577106475830078,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3759778,51215,1700026481,184344576,sensor_wgs84,0.655164897441864,0.1362960934638977,0.1757037192583084,0.7220184803009033,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,0.02544424682855606,-0.011053675785660744,-0.020984210073947906,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.027784347534179688,-0.088531494140625,0.028963565826416016,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3760345,51216,1700026481,194367232,sensor_wgs84,0.6552523970603943,0.13636301457881927,0.17558792233467102,0.7219545841217041,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,0.02469460852444172,-0.00665978342294693,-0.01974472403526306,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.017993241548538208,-0.1295480728149414,0.1002928614616394,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3760757,51217,1700026481,204381440,sensor_wgs84,0.6553134918212891,0.13643160462379456,0.1754898726940155,0.7219099402427673,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,0.014112424105405807,-0.005578806158155203,-0.020524319261312485,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01954185962677002,-0.13574886322021484,0.0944983959197998,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3761194,51218,1700026481,214395392,sensor_wgs84,0.6553269624710083,0.13650883734226227,0.175390362739563,0.7219073176383972,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,0.00010931678116321564,-0.002070442773401737,-0.028809471055865288,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.018054872751235962,-0.1266031265258789,0.066444993019104,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3761609,51219,1700026481,224412928,sensor_wgs84,0.6552879214286804,0.1365799605846405,0.17525765299797058,0.7219615578651428,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,-0.011272840201854706,-0.016562743112444878,-0.034127186983823776,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.004120558500289917,-0.12708759307861328,0.043263256549835205,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.376205,51220,1700026481,234426624,sensor_wgs84,0.6552249789237976,0.13661709427833557,0.17508424818515778,0.7220537066459656,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,-0.0234394334256649,-0.02206883206963539,-0.03358091786503792,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.006454050540924072,-0.13599586486816406,0.07613503932952881,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.376242,51221,1700026481,244441344,sensor_wgs84,0.6551401615142822,0.13661810755729675,0.1749027669429779,0.7221744656562805,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,-0.026391614228487015,-0.030892005190253258,-0.025439776480197906,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.017733335494995117,-0.0758218765258789,0.09872817993164062,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3763425,51222,1700026481,254457344,sensor_wgs84,0.6550437808036804,0.13660036027431488,0.17474551498889923,0.7223032712936401,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,-0.023537296801805496,-0.030655141919851303,-0.024270812049508095,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.009076982736587524,-0.07360363006591797,0.10489529371261597,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3765225,51223,1700026481,264469760,sensor_wgs84,0.6549579501152039,0.13655073940753937,0.1746014505624771,0.7224252820014954,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,-0.025532865896821022,-0.0262950137257576,-0.014767372980713844,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.013042479753494263,-0.02560710906982422,0.07886707782745361,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.376607,51224,1700026481,274484480,sensor_wgs84,0.6548926830291748,0.13649660348892212,0.17447809875011444,0.7225245833396912,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,-0.015356261283159256,-0.02741534262895584,-0.013120131567120552,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.0168418288230896,-0.0042476654052734375,0.011553168296813965,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3767722,51225,1700026481,284507136,sensor_wgs84,0.6548546552658081,0.1364152729511261,0.17434589564800262,0.7226063013076782,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,-0.009184649214148521,-0.02892979420721531,-0.00930327083915472,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.027322977781295776,-0.02825164794921875,-0.013513803482055664,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1700026481.3773997,51226,1700026481,294520832,sensor_wgs84,0.6548439264297485,0.1363232284784317,0.17423562705516815,0.7226599454879761,2.057479922304992e-06,0.0,0.0,0.0,2.3502247316594727e-06,0.0,0.0,0.0,6.63131711449447e-05,-0.005270380526781082,-0.03218306601047516,-0.005655072163790464,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.01232197880744934,-0.051848411560058594,0.01731705665588379,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
